1_name,2_link,3_min_salary,4_max_salary,5_salary_cur,6_site
Технолог складской логистики,https://hh.ru/vacancy/44685981?query=Lean,,,,https://hh.ru
Middle / Senior Java Developer,https://hh.ru/vacancy/43681225?query=Lean,,,,https://hh.ru
Ведущий программист 1С,https://hh.ru/vacancy/43918448?query=Lean,,300000,руб.,https://hh.ru
Clojure Developer,https://hh.ru/vacancy/44491711?query=Lean,70000,150000,руб.,https://hh.ru
SEO Manager for TuxCare,https://hh.ru/vacancy/44652177?query=Lean,,,,https://hh.ru
Главный механик,https://hh.ru/vacancy/42184907?query=Lean,90000,,руб.,https://hh.ru
SEO Manager for TuxCare,https://hh.ru/vacancy/44652176?query=Lean,,,,https://hh.ru
Скрам мастер (удаленно),https://hh.ru/vacancy/44171558?query=Lean,,,,https://hh.ru
SEO Manager for TuxCare [Remote],https://hh.ru/vacancy/44652174?query=Lean,,,,https://hh.ru
"Full stack разработчик (C#, Angular)",https://hh.ru/vacancy/44546274?query=Lean,,,,https://hh.ru
HR Partner / Expert,https://hh.ru/vacancy/44663739?query=Lean,,,,https://hh.ru
HR Partner / Expert,https://hh.ru/vacancy/44663740?query=Lean,,,,https://hh.ru
HR Partner / Expert,https://hh.ru/vacancy/44663741?query=Lean,,,,https://hh.ru
Agile coach,https://hh.ru/vacancy/44643750?query=Lean,,,,https://hh.ru
Agile Lead,https://hh.ru/vacancy/42766394?query=Lean,,,,https://hh.ru
Главный специалист управления Трансформации и Бизнес-процессов,https://hh.ru/vacancy/44269775?query=Lean,,,,https://hh.ru
Инженер,https://hh.ru/vacancy/44683831?query=Lean,,,,https://hh.ru
Тренер по направлению ИТ-менеджмент,https://hh.ru/vacancy/44188698?query=Lean,,,,https://hh.ru
"Supply Chain Director (Russia, Ukraine & CIS)",https://hh.ru/vacancy/44303750?query=Lean,,,,https://hh.ru
Скрам-мастер,https://hh.ru/vacancy/44253508?query=Lean,,,,https://hh.ru
Process Master,https://hh.ru/vacancy/44085941?query=Lean,,,,https://hh.ru
Ведущий QA инженер по тестированию (Vanessa-Automation),https://hh.ru/vacancy/44270536?query=Lean,200000,,руб.,https://hh.ru
"Архитектор 1С/Технический руководитель 1С (реглучет, ЗУП)",https://hh.ru/vacancy/43834396?query=Lean,,300000,руб.,https://hh.ru
Начальник регионального отдела обработки платежей,https://hh.ru/vacancy/44665824?query=Lean,,,,https://hh.ru
Менеджер по продукту (Product manager),https://hh.ru/vacancy/43157591?query=Lean,,,,https://hh.ru
Менеджер продукта (EdTech),https://hh.ru/vacancy/44637867?query=Lean,,,,https://hh.ru
Руководитель производственного склада,https://hh.ru/vacancy/44654010?query=Lean,,,,https://hh.ru
Руководитель пищевого производства,https://hh.ru/vacancy/36031881?query=Lean,,,,https://hh.ru
Помощник главного врача/делопроизводитель-секретарь,https://hh.ru/vacancy/44256117?query=Lean,25000,25000,руб.,https://hh.ru
Мастер цеха / Бригадир (г. Краснознаменск),https://hh.ru/vacancy/43764069?query=Lean,50000,,руб.,https://hh.ru
Мастер цеха / Бригадир (г. Краснознаменск),https://hh.ru/vacancy/43764070?query=Lean,50000,,руб.,https://hh.ru
Руководитель Проекта Локального Производства,https://hh.ru/vacancy/44605763?query=Lean,,,,https://hh.ru
Менеджер по операционной эффективности,https://hh.ru/vacancy/44585769?query=Lean,,,,https://hh.ru
Менеджер по операционной эффективности,https://hh.ru/vacancy/44585787?query=Lean,,,,https://hh.ru
Middle iOS-разработчик (Picverse),https://hh.ru/vacancy/43881638?query=Lean,,,,https://hh.ru
DevOps engineer (OTC),https://hh.ru/vacancy/44410353?query=Lean,,,,https://hh.ru
Менеджер по повышению операционной эффективности,https://hh.ru/vacancy/44343555?query=Lean,,,,https://hh.ru
Аналитик бизнес-процессов в Маркет,https://hh.ru/vacancy/43283603?query=Lean,,,,https://hh.ru
Руководитель проектов по бережливому производству,https://hh.ru/vacancy/44557926?query=Lean,70000,80000,руб.,https://hh.ru
Главный технолог,https://hh.ru/vacancy/43957617?query=Lean,,250000,руб.,https://hh.ru
Специалист по планированию производства,https://hh.ru/vacancy/43942762?query=Lean,,,,https://hh.ru
Начальник отдела операционной эффективности,https://hh.ru/vacancy/44595172?query=Lean,,,,https://hh.ru
Руководитель производства,https://hh.ru/vacancy/44590086?query=Lean,,,,https://hh.ru
